city,freebase_id,iata_code,country
Alajuela,/m/05h8q7,,Costa Rica
Alakanuk,/m/0qhr7,,United States
Alalakh,/m/02w9zk,,Turkey
Alalcomenae,/m/0c3zpr,,Greece
Alamance,/m/0yctr,,United States
Alameda,/m/0135g,,United States
Alaminos,/m/06jz42,,Philippines
Alamo,/m/020y4_g,,United States
Alamo,/m/0ys8n,,United States
Alamo Heights,/m/0_y2m,,United States
Alamogordo,/m/0xvnm,,United States
Alamor,/m/07s75kj,,Ecuador
Alamosa,/m/0gg9f,,United States
Alamüdün,/m/03wcrk0,,Kyrgyzstan
Alanya,/m/03rnrz,,Turkey
Alashankou,/m/0ch50bm,,People's Republic of China
Alatornio,/m/011cbch5,,Finland
Alausi,/m/03qp1qc,,Ecuador
Alba,/m/0wwf9,,United States
Alba Fucens,/m/049ngf,,Italy
Alba Iulia,/m/023t79,,Romania
Alba Longa,/m/0n184,,Italy
Alba Longa,/m/0n184,,Ancient Rome
Albaniana,/m/0r4x6r9,,Netherlands
Albanopolis,/m/03qcd8p,,Albania
Albany,/m/0dq16,,United States
Albany,/m/013khd,,United States
Albany,/m/0gdmg,,United States
Albany,/m/0rw2x,,United States
Albany,/m/0108s2,,United States
Albany,/m/0tdgj,,United States
Albany,/m/0wvnh,,United States
Albany,/m/0wk12,,United States
Albbruck,/m/02q03tn,,Germany
Albemarle,/m/0ykxv,,United States
Albenga,/m/06svpn,,Italy
Albert,/m/0t55n,,United States
Albert City,/m/0ss4g,,United States
Albert Lea,/m/0v_gw,,United States
Alberta,/m/0wkst,,United States
Albertirsa,/m/07smln,,Hungary
Alberton,/m/04wbbm,,South Africa
Albertville,/m/0q966,,United States
Albertville,/m/0wnpq,,United States
Albia,/m/0t1q1,,United States
Albina,/m/07bp6p,,Suriname
Albion,/m/0s6ns,,United States
Albion,/m/0x4fr,,United States
Albion,/m/0s1ft,,United States
Albion,/m/0t196,,United States
Albion,/m/0yrn,,United States
Albstadt,/m/0c_rhn,,Germany
Albuquerque,/m/0djd3,,United States
Alburgh,/m/01mhqc,,United States
Alburnett,/m/0t0mh,,United States
Albury,/m/0g38r,,Australia
Alcabala,/m/083b5t,,Spain
Alcester,/m/0_skl,,United States
Alchester Roman Town,/m/0bkn_j,,United Kingdom
Alchevsk,/m/060h63,,Ukraine
Alcimoennis,/m/080z1g,,Germany
Alcoa,/m/0_svl,,United States
Alcobendas,/m/09h91k,,Spain
Alcázar de Jerez de la Frontera,/m/0bs179d,,Spain
Alcázar de los Reyes Cristianos,/m/0cd25p,,Spain
Alden,/m/0s_2k,,United States
Alden,/m/0v_hl,,United States
Alden,/m/0tb1w,,United States
Aldrich,/m/0wm43,,United States
Alecrim,/m/03qm8bq,,Brazil
Aledo,/m/0sdj3,,United States
Aledo,/m/0107kh,,United States
Aleg,/m/0cw0mz,,Mauritania
Aleknagik,/m/0qdby,,United States
Aleksandrów Kujawski,/m/03bdr0,,Poland
Aleksandrów Łódzki,/m/022mx0,,Poland
Aleksinac,/m/0cydgb,,Serbia
Aleppo,/m/01505k,,Syria
Alerce,/m/02p26l_,,Chile
Alesia,/m/0cj17x,,France
Alessandria,/m/02bb_4,,Italy
Aleta Wendo,/m/03d0kxv,,Ethiopia
